# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.2589e+00 1.2464e+00 3.8000e+01 5.3166e-03 4.8801e-03 3.4322e-03 4.2233e-03 2.7154e-03 2.5512e-03 6.0970e-04 1.8489e-03 1.0219e-03 6.3984e-04
1.2589e+00 1.2958e+00 3.8000e+01 1.4068e-02 1.2067e-02 1.3391e-02 1.1280e-02 2.1150e-03 1.2361e-03 8.0178e-04 2.3460e-04 7.2415e-04 4.2029e-04
1.2589e+00 1.2904e+00 3.8000e+01 6.3486e-03 4.9440e-03 9.5058e-04 3.3997e-03 3.6493e-03 1.8781e-03 3.1226e-03 6.0063e-04 9.2467e-04 2.7469e-04
1.4125e+00 1.4049e+00 3.7000e+01 3.9032e-03 4.1786e-03 8.2183e-04 1.5728e-03 3.1986e-03 2.9362e-03 2.2236e-03 1.6281e-03 5.5784e-04 8.9526e-04
1.4125e+00 1.4188e+00 3.7000e+01 4.7687e-03 4.6301e-03 1.5230e-03 3.3455e-03 2.5138e-03 3.3793e-03 2.0893e-03 1.7309e-03 1.9149e-03 1.2464e-03
1.4125e+00 1.4438e+00 3.7000e+01 1.1319e-02 1.0301e-02 9.8843e-03 9.5823e-03 2.4339e-03 2.2466e-03 1.8001e-03 9.6885e-04 4.2344e-04 5.8475e-04
1.4125e+00 1.4251e+00 3.7000e+01 8.3130e-03 9.0418e-03 1.1211e-03 5.3460e-03 3.0410e-03 3.4127e-03 1.4131e-03 2.6799e-03 8.3672e-04 1.0983e-04
1.4125e+00 1.4015e+00 3.7000e+01 1.2906e-02 9.2824e-03 1.1690e-02 7.9964e-03 5.1555e-03 2.0095e-03 4.7185e-03 3.5722e-04 1.3165e-03 4.9268e-04
1.4125e+00 1.3919e+00 3.7000e+01 9.3124e-03 5.9943e-03 6.8696e-03 4.9877e-03 3.6509e-03 2.4690e-03 1.8479e-03 1.4125e-03 1.1814e-03 3.1335e-04
1.4125e+00 1.4415e+00 3.7000e+01 8.0262e-03 6.5027e-03 3.4346e-03 4.9880e-03 4.0122e-03 2.4766e-03 3.1241e-03 2.0887e-03 1.7278e-03 1.1341e-03
1.4125e+00 1.4378e+00 3.7000e+01 5.1413e-03 3.7892e-03 1.1406e-03 1.9749e-03 3.6284e-03 2.0638e-03 2.5777e-03 3.4072e-04 1.4250e-03 3.5337e-04
1.4125e+00 1.3767e+00 3.7000e+01 5.8605e-03 3.2139e-03 1.8259e-03 6.2306e-04 3.0124e-03 2.3664e-03 2.0534e-03 8.2550e-04 1.8363e-03 4.0392e-04
1.4125e+00 1.3646e+00 3.7000e+01 1.0292e-02 7.0511e-03 7.6189e-03 4.0790e-03 2.9458e-03 2.3268e-03 1.8714e-03 1.6975e-03 6.0076e-04 2.1122e-04
1.5849e+00 1.5967e+00 3.6000e+01 7.9104e-03 8.9500e-03 4.7384e-03 6.4508e-03 3.7784e-03 5.1400e-03 5.3300e-04 2.2555e-03 4.5290e-04 9.4842e-04
1.5849e+00 1.5717e+00 3.6000e+01 9.9460e-03 1.0269e-02 8.2605e-03 9.8012e-03 2.1553e-03 2.0291e-03 4.9944e-04 5.6425e-04 5.1143e-04 5.5369e-04
1.5849e+00 1.6353e+00 3.6000e+01 8.4499e-03 4.1694e-03 2.3000e-03 1.9958e-03 3.8000e-03 1.9239e-03 5.8129e-04 6.1495e-04 6.0885e-04 5.9182e-04
1.5849e+00 1.6084e+00 3.6000e+01 7.6397e-03 4.9168e-03 4.9670e-03 2.7282e-03 4.9854e-03 1.8518e-03 3.4324e-03 1.1816e-03 6.9443e-04 4.9702e-05
1.5849e+00 1.5505e+00 3.6000e+01 1.2098e-02 8.4344e-03 1.0887e-02 6.9991e-03 1.9109e-03 2.6394e-03 1.3981e-03 9.7733e-04 6.6257e-04 4.8774e-04
1.5849e+00 1.6241e+00 3.6000e+01 9.0344e-03 5.4745e-03 3.1084e-03 4.4808e-03 4.3239e-03 1.6829e-03 2.0652e-03 1.3257e-05 2.6163e-03 4.5449e-05
1.5849e+00 1.5650e+00 3.6000e+01 6.4379e-03 4.7825e-03 2.5329e-03 3.5241e-03 4.6098e-03 2.0771e-03 3.0887e-03 5.1263e-04 8.5246e-04 1.7876e-04
1.5849e+00 1.6287e+00 3.6000e+01 8.9621e-03 8.4554e-03 6.1280e-03 5.5546e-03 4.0466e-03 3.8830e-03 1.5270e-03 9.5856e-04 9.8254e-04 1.7187e-03
1.5849e+00 1.5573e+00 3.6000e+01 4.7518e-03 4.4288e-03 1.2360e-03 1.8672e-04 2.9335e-03 1.2751e-03 1.1891e-03 1.9673e-04 1.1377e-03 7.7228e-05
1.5849e+00 1.6036e+00 3.6000e+01 7.7438e-03 8.0190e-03 5.4557e-03 6.3689e-03 1.7666e-03 3.4656e-03 1.0141e-03 6.4167e-06 5.6709e-04 6.2364e-04
1.7783e+00 1.7495e+00 3.5000e+01 1.3096e-02 8.2098e-03 1.1551e-02 6.5838e-03 2.9572e-03 2.4375e-03 1.6523e-03 1.7211e-03 1.1678e-03 1.1795e-03
1.7783e+00 1.7686e+00 3.5000e+01 6.4881e-03 5.4248e-03 4.5015e-04 3.3082e-03 3.8938e-03 2.2211e-03 1.5596e-03 1.2925e-04 1.1496e-03 1.7017e-04
1.7783e+00 1.8226e+00 3.5000e+01 8.6179e-03 8.6648e-03 5.2922e-03 7.1054e-03 4.3445e-03 2.5642e-03 1.8919e-03 2.2674e-03 1.1000e-03 1.2342e-03
1.7783e+00 1.8135e+00 3.5000e+01 9.0598e-03 1.2268e-02 6.4029e-03 1.1180e-02 3.1344e-03 3.7584e-03 1.9124e-03 2.7513e-03 1.2949e-04 1.1466e-04
1.7783e+00 1.7594e+00 3.5000e+01 8.1688e-03 6.2884e-03 2.6928e-03 4.4350e-03 3.9802e-03 2.8201e-03 1.9728e-03 2.3117e-03 8.6575e-04 3.6078e-04
1.7783e+00 1.7898e+00 3.5000e+01 9.0107e-03 6.9077e-03 6.7424e-03 5.6083e-03 3.4745e-03 2.2513e-03 2.7917e-03 1.7253e-03 6.0151e-04 1.0383e-03
1.7783e+00 1.7695e+00 3.5000e+01 1.4882e-02 1.7081e-02 1.4025e-02 1.6090e-02 2.6374e-03 3.2997e-03 1.4729e-03 2.4988e-03 1.3263e-03 6.9088e-04
1.7783e+00 1.7947e+00 3.5000e+01 1.2038e-02 5.9338e-03 1.0637e-02 5.0820e-03 2.9418e-03 3.0094e-03 1.6306e-03 2.6335e-03 9.6583e-04 1.6149e-04
1.7783e+00 1.7087e+00 3.5000e+01 7.0929e-03 4.5473e-03 1.2160e-03 2.8458e-03 3.6739e-03 3.5542e-03 2.0339e-03 2.4965e-03 6.1844e-04 6.4460e-04
1.7783e+00 1.6607e+00 3.5000e+01 1.1448e-02 8.5671e-03 8.8993e-03 7.6228e-03 3.9689e-03 2.3187e-03 1.6148e-03 1.5371e-03 1.1899e-03 5.6901e-04
1.9953e+00 1.9509e+00 3.4000e+01 1.3753e-02 9.6426e-03 1.0201e-02 7.4611e-03 3.1053e-03 4.6631e-03 1.4727e-03 2.8272e-03 7.3446e-04 3.4985e-04
1.9953e+00 1.9594e+00 3.4000e+01 7.5538e-03 8.7580e-03 8.5056e-04 1.8132e-03 4.8037e-03 3.0683e-03 4.4562e-03 2.2533e-03 8.4654e-04 1.1694e-03
1.9953e+00 2.0333e+00 3.4000e+01 1.0909e-02 8.8920e-03 8.7553e-03 7.6802e-03 4.8787e-03 2.2404e-03 4.8283e-03 1.4962e-03 1.0216e-03 4.8556e-04
1.9953e+00 2.0657e+00 3.4000e+01 7.4490e-03 5.9570e-03 1.2580e-03 4.0515e-03 5.8351e-03 2.7694e-03 3.8911e-03 1.5450e-03 2.3509e-04 7.6247e-05
1.9953e+00 1.9584e+00 3.4000e+01 1.2245e-02 9.6860e-03 9.6996e-03 6.7112e-03 3.5091e-03 4.2524e-03 1.6038e-03 3.4985e-03 3.6258e-04 1.0030e-04
1.9953e+00 1.9610e+00 3.4000e+01 7.5677e-03 7.2587e-03 1.8359e-03 5.8704e-03 4.5855e-03 2.0570e-03 3.1696e-03 1.6148e-04 1.5689e-03 2.6449e-04
1.9953e+00 2.0384e+00 3.4000e+01 6.5580e-03 5.3925e-03 1.2996e-03 2.7890e-03 2.3355e-03 2.6671e-03 1.2360e-03 1.8802e-03 1.4389e-03 4.0554e-04
1.9953e+00 2.0102e+00 3.4000e+01 1.3170e-02 1.4567e-02 1.1705e-02 1.3482e-02 3.0798e-03 3.7846e-03 1.1436e-03 2.6784e-03 8.0193e-04 7.3032e-04
1.9953e+00 1.9878e+00 3.4000e+01 7.6921e-03 6.9668e-03 5.3253e-03 5.8771e-03 3.6339e-03 3.0398e-03 2.2871e-03 1.4693e-03 1.5440e-03 2.1617e-04
