noise_th noise noise_db xNN vNN  xNN+SR vNN+SR xNN+sym vNN+sym xNN+sym+SR vNN+sym+SR xparam vparam
1.00000000 0.96041472 40.00000000 0.00341409 0.00262404 0.00123739 0.00262404 0.00191819 0.00164243 0.00076970 0.00076084 0.00055713 0.00049934
1.00000000 0.96041472 40.00000000 0.00652540 0.00364447 0.00099191 0.00364447 0.00137466 0.00113784 0.00078126 0.00063859 0.00037976 0.00032831
1.00000000 0.96041472 40.00000000 0.00292424 0.00212024 0.00214148 0.00212024 0.00149840 0.00098733 0.00182667 0.00117890 0.00117171 0.00078994
1.00000000 0.96041472 40.00000000 0.00242736 0.00213120 0.00206846 0.00213120 0.00199735 0.00149114 0.00176003 0.00128785 0.00136645 0.00095156
1.00000000 1.02111110 40.00000000 0.00340542 0.00176078 0.00275085 0.00176078 0.00117528 0.00077467 0.00078989 0.00074165 0.00059898 0.00042341
1.00000000 1.02111110 40.00000000 0.00308403 0.00174602 0.00270276 0.00174602 0.00081161 0.00085212 0.00067857 0.00083471 0.00033403 0.00026352
1.00000000 1.02111110 40.00000000 0.00517402 0.00277870 0.00312929 0.00277870 0.00251188 0.00126188 0.00118194 0.00073585 0.00081384 0.00048882
1.00000000 1.02111110 40.00000000 0.00208780 0.00164925 0.00257735 0.00164925 0.00164669 0.00139057 0.00082020 0.00077088 0.00125930 0.00082578
1.00000000 1.02111110 40.00000000 0.00359704 0.00194749 0.00321105 0.00194749 0.00156181 0.00081983 0.00164437 0.00059181 0.00027385 0.00021134
1.00000000 1.02111110 40.00000000 0.00434049 0.00206242 0.00289538 0.00206242 0.00231786 0.00142309 0.00115783 0.00078433 0.00067768 0.00045443
1.00000000 1.02111110 40.00000000 0.00313811 0.00198884 0.00262662 0.00198884 0.00085563 0.00088735 0.00074960 0.00087156 0.00037593 0.00034190
1.00000000 1.02111110 40.00000000 0.00386006 0.00143009 0.00296138 0.00143009 0.00224664 0.00096637 0.00182449 0.00072777 0.00035843 0.00017000
1.00000000 1.02111110 40.00000000 0.00504484 0.00245382 0.00280827 0.00245382 0.00305015 0.00183612 0.00085263 0.00077662 0.00046995 0.00031856
1.00000000 1.02111110 40.00000000 0.00366494 0.00185350 0.00273913 0.00185350 0.00097331 0.00078412 0.00066494 0.00067821 0.00046683 0.00030585
1.00000000 0.99980963 40.00000000 0.00463512 0.00131156 0.00257734 0.00131156 0.00100506 0.00096059 0.00089468 0.00097126 0.00054828 0.00047929
1.00000000 0.99980963 40.00000000 0.00332670 0.00146198 0.00283305 0.00146198 0.00285806 0.00186799 0.00152700 0.00106956 0.00083709 0.00059599
1.00000000 0.99980963 40.00000000 0.00557934 0.00191590 0.00300215 0.00191590 0.00423699 0.00222665 0.00173197 0.00122698 0.00092494 0.00057695
1.00000000 0.99980963 40.00000000 0.00542543 0.00204146 0.00311507 0.00204146 0.00414881 0.00187269 0.00136772 0.00097293 0.00053874 0.00035024
1.00000000 0.99980963 40.00000000 0.00550526 0.00263395 0.00271573 0.00263395 0.00452354 0.00208810 0.00192255 0.00121871 0.00114676 0.00081780
1.00000000 0.99980963 40.00000000 0.00493971 0.00263847 0.00294381 0.00263847 0.00375895 0.00329752 0.00261732 0.00225140 0.00166104 0.00140021
1.00000000 0.99980963 40.00000000 0.00244004 0.00179462 0.00282449 0.00179462 0.00241406 0.00157678 0.00223789 0.00161636 0.00143001 0.00095167
1.00000000 0.99980963 40.00000000 0.00604981 0.00381375 0.00311525 0.00381375 0.00359419 0.00261851 0.00319677 0.00229684 0.00169901 0.00124054
1.00000000 0.99980963 40.00000000 0.00458219 0.00165989 0.00271829 0.00165989 0.00131911 0.00099498 0.00158666 0.00095818 0.00096627 0.00058114
1.00000000 0.99980963 40.00000000 0.00366389 0.00293524 0.00328933 0.00293524 0.00313390 0.00290411 0.00282543 0.00246736 0.00209946 0.00183199
1.00000000 0.98384400 40.00000000 0.00398763 0.00196878 0.00290552 0.00196878 0.00073425 0.00075578 0.00088741 0.00092616 0.00139100 0.00140895
1.00000000 0.98384400 40.00000000 0.00498629 0.00318785 0.00367796 0.00318785 0.00181505 0.00087448 0.00057397 0.00042453 0.00096978 0.00056263
1.00000000 0.98384400 40.00000000 0.00429472 0.00304302 0.00293190 0.00304302 0.00208925 0.00114211 0.00080799 0.00054265 0.00076824 0.00048048
1.00000000 0.98384400 40.00000000 0.00557965 0.00467393 0.00307992 0.00467393 0.00101644 0.00073508 0.00063499 0.00043178 0.00108693 0.00068708
1.00000000 0.98384400 40.00000000 0.00306626 0.00271615 0.00284235 0.00271615 0.00080900 0.00078346 0.00120285 0.00085373 0.00121829 0.00088660
1.00000000 0.98384400 40.00000000 0.00385982 0.00122315 0.00394264 0.00122315 0.00131948 0.00070760 0.00049643 0.00030519 0.00082394 0.00041165
1.00000000 0.98384400 40.00000000 0.00454075 0.00388783 0.00298012 0.00388783 0.00145072 0.00098071 0.00070422 0.00053299 0.00101281 0.00072494
1.00000000 0.98384400 40.00000000 0.00349505 0.00097689 0.00432063 0.00097689 0.00105271 0.00057809 0.00075180 0.00046624 0.00097736 0.00058481
1.00000000 0.98384400 40.00000000 0.00418400 0.00317631 0.00278779 0.00317631 0.00081404 0.00069833 0.00110961 0.00082028 0.00147156 0.00111262
1.00000000 0.98384400 40.00000000 0.00474599 0.00259770 0.00321772 0.00259770 0.00064789 0.00058355 0.00064204 0.00047255 0.00141404 0.00100660
1.00000000 0.98838811 40.00000000 0.00388140 0.00222376 0.00241011 0.00222376 0.00145043 0.00075768 0.00106033 0.00019056 0.00043408 0.00024029
1.00000000 0.98838811 40.00000000 0.00295982 0.00208360 0.00203503 0.00208360 0.00123913 0.00065810 0.00096762 0.00028258 0.00021045 0.00015828
1.00000000 0.98838811 40.00000000 0.00471301 0.00460095 0.00129220 0.00460095 0.00124922 0.00063913 0.00125865 0.00045816 0.00115975 0.00060906
1.00000000 0.98838811 40.00000000 0.00296564 0.00262764 0.00212421 0.00262764 0.00169833 0.00093661 0.00107767 0.00034034 0.00047704 0.00027688
1.00000000 0.98838811 40.00000000 0.00346003 0.00377375 0.00177268 0.00377375 0.00138070 0.00089412 0.00117721 0.00036307 0.00071056 0.00047566
1.00000000 0.98838811 40.00000000 0.00322668 0.00350170 0.00171365 0.00350170 0.00137552 0.00097175 0.00113802 0.00033571 0.00053017 0.00033796
1.00000000 0.98838811 40.00000000 0.00304541 0.00294608 0.00198898 0.00294608 0.00252324 0.00141261 0.00130736 0.00043136 0.00076835 0.00045505
1.00000000 0.98838811 40.00000000 0.00326893 0.00408016 0.00159929 0.00408016 0.00164448 0.00101477 0.00122624 0.00047200 0.00078199 0.00056033
1.00000000 0.98838811 40.00000000 0.00337738 0.00298231 0.00189366 0.00298231 0.00217075 0.00126425 0.00110306 0.00032499 0.00035858 0.00021961
1.00000000 0.98838811 40.00000000 0.00305127 0.00422416 0.00134712 0.00422416 0.00146493 0.00082079 0.00121859 0.00041416 0.00072468 0.00057713
1.00000000 0.97308337 40.00000000 0.00323794 0.00347268 0.00132305 0.00347268 0.00229946 0.00113598 0.00064013 0.00046333 0.00036368 0.00025863
1.00000000 0.97308337 40.00000000 0.00243814 0.00177532 0.00078842 0.00177532 0.00073589 0.00050442 0.00063265 0.00036141 0.00032561 0.00013951
1.00000000 0.97308337 40.00000000 0.00154139 0.00143895 0.00129506 0.00143895 0.00058241 0.00044184 0.00090740 0.00046543 0.00032696 0.00025740
1.00000000 0.97308337 40.00000000 0.00398418 0.00363132 0.00149492 0.00363132 0.00090599 0.00079543 0.00044249 0.00038428 0.00031483 0.00028935
1.00000000 0.97308337 40.00000000 0.00256789 0.00204828 0.00183417 0.00204828 0.00052253 0.00046869 0.00032932 0.00026730 0.00040445 0.00030278
1.00000000 0.97308337 40.00000000 0.00345049 0.00312419 0.00284220 0.00312419 0.00140462 0.00099799 0.00040412 0.00030015 0.00040026 0.00029737
1.00000000 0.97308337 40.00000000 0.00225252 0.00213528 0.00132181 0.00213528 0.00053143 0.00042521 0.00032998 0.00023518 0.00051151 0.00030244
1.00000000 0.97308337 40.00000000 0.00289747 0.00280736 0.00192393 0.00280736 0.00115544 0.00079645 0.00050908 0.00052601 0.00076109 0.00028699
1.00000000 0.97308337 40.00000000 0.00239915 0.00169020 0.00112695 0.00169020 0.00106810 0.00068388 0.00069588 0.00038842 0.00042439 0.00023925
1.00000000 0.97308337 40.00000000 0.00316619 0.00289508 0.00240421 0.00289508 0.00110073 0.00070649 0.00041162 0.00030275 0.00040314 0.00027459
1.00000000 1.00298323 40.00000000 0.00361089 0.00320598 0.00148832 0.00320598 0.00210093 0.00115915 0.00180169 0.00107212 0.00060511 0.00034395
1.00000000 1.00298323 40.00000000 0.00267229 0.00151602 0.00160299 0.00151602 0.00086196 0.00075903 0.00233045 0.00123510 0.00086086 0.00050109
