# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
1.5849e+00 1.5853e+00 3.6000e+01 2.0220e-01 8.0470e-02 1.9705e-01 8.0912e-02 7.9758e-04 3.7456e-04
1.5849e+00 1.5525e+00 3.6000e+01 2.0316e-01 8.3105e-02 1.9728e-01 8.0698e-02 9.0864e-04 1.4193e-04
1.5849e+00 1.6223e+00 3.6000e+01 2.0214e-01 7.8882e-02 1.9627e-01 7.7074e-02 1.6343e-03 6.5380e-05
1.5849e+00 1.5676e+00 3.6000e+01 2.0326e-01 8.3744e-02 1.9760e-01 8.1199e-02 8.1491e-04 4.3260e-04
1.5849e+00 1.6270e+00 3.6000e+01 2.0349e-01 8.3178e-02 1.9823e-01 8.1210e-02 1.9187e-03 1.3396e-04
1.5849e+00 1.5480e+00 3.6000e+01 2.0309e-01 8.1347e-02 1.9852e-01 8.1741e-02 5.3423e-04 5.1133e-04
1.5849e+00 1.5900e+00 3.6000e+01 2.0286e-01 8.0397e-02 1.9753e-01 7.9761e-02 2.6800e-04 5.0424e-04
1.7783e+00 1.7521e+00 3.5000e+01 2.0256e-01 8.0812e-02 1.9646e-01 7.8103e-02 1.3499e-03 5.4838e-04
1.7783e+00 1.7826e+00 3.5000e+01 2.0326e-01 8.2447e-02 1.9866e-01 8.3580e-02 8.3787e-04 3.4974e-04
1.7783e+00 1.7681e+00 3.5000e+01 2.0314e-01 7.9954e-02 1.9732e-01 7.7814e-02 2.2631e-03 9.4666e-04
1.7783e+00 1.8124e+00 3.5000e+01 2.0348e-01 8.4134e-02 1.9891e-01 8.4252e-02 7.9640e-04 2.1392e-04
1.7783e+00 1.7921e+00 3.5000e+01 2.0321e-01 8.2819e-02 1.9785e-01 8.2316e-02 1.1698e-03 1.6657e-04
1.7783e+00 1.7810e+00 3.5000e+01 2.0270e-01 8.1787e-02 1.9826e-01 8.2119e-02 1.5227e-03 5.1333e-04
1.7783e+00 1.7420e+00 3.5000e+01 2.0333e-01 8.5029e-02 1.9927e-01 8.6952e-02 9.6958e-04 2.3308e-04
1.7783e+00 1.7913e+00 3.5000e+01 2.0274e-01 8.1589e-02 1.9731e-01 7.9617e-02 2.3162e-04 1.5344e-04
1.7783e+00 1.7330e+00 3.5000e+01 2.0262e-01 8.1613e-02 1.9625e-01 7.8418e-02 1.0626e-03 6.1758e-04
1.7783e+00 1.6495e+00 3.5000e+01 2.0291e-01 8.2842e-02 1.9707e-01 8.0209e-02 1.1040e-03 5.3565e-04
1.9953e+00 1.9381e+00 3.4000e+01 2.0311e-01 8.1095e-02 1.9788e-01 7.9936e-02 9.5920e-04 4.6260e-04
1.9953e+00 1.9739e+00 3.4000e+01 2.0440e-01 8.5343e-02 2.0008e-01 8.5370e-02 2.2038e-03 1.4682e-04
1.9953e+00 2.0221e+00 3.4000e+01 2.0289e-01 8.2451e-02 1.9777e-01 8.3123e-02 1.1124e-03 6.7240e-04
1.9953e+00 2.0901e+00 3.4000e+01 2.0287e-01 8.0738e-02 1.9663e-01 7.8722e-02 1.5085e-03 4.9491e-04
1.9953e+00 1.9810e+00 3.4000e+01 2.0280e-01 7.9709e-02 1.9734e-01 7.8556e-02 4.2805e-04 2.7635e-04
1.9953e+00 1.9461e+00 3.4000e+01 2.0300e-01 8.1337e-02 1.9691e-01 7.8759e-02 1.2213e-03 9.5389e-05
1.9953e+00 2.0387e+00 3.4000e+01 2.0307e-01 7.9808e-02 1.9752e-01 7.8549e-02 6.6041e-04 1.4105e-04
1.9953e+00 2.0247e+00 3.4000e+01 2.0262e-01 8.1485e-02 1.9755e-01 8.1726e-02 1.6703e-03 7.7589e-05
1.9953e+00 1.9707e+00 3.4000e+01 2.0320e-01 8.0769e-02 1.9756e-01 7.8855e-02 5.7588e-04 9.0282e-04
1.9953e+00 1.9658e+00 3.4000e+01 2.0257e-01 7.9776e-02 1.9631e-01 7.7134e-02 1.0384e-03 1.5088e-04
2.2387e+00 2.1893e+00 3.3000e+01 2.0308e-01 8.3416e-02 1.9818e-01 8.3150e-02 1.1116e-03 3.3097e-04
2.2387e+00 2.2607e+00 3.3000e+01 2.0268e-01 8.0641e-02 1.9763e-01 7.9893e-02 1.6025e-03 1.1023e-03
2.2387e+00 2.2618e+00 3.3000e+01 2.0244e-01 8.2380e-02 1.9686e-01 8.2049e-02 1.0460e-03 6.1707e-04
2.2387e+00 2.2859e+00 3.3000e+01 2.0214e-01 8.0720e-02 1.9734e-01 8.1781e-02 1.3860e-03 4.1416e-04
2.2387e+00 2.2453e+00 3.3000e+01 2.0208e-01 8.1563e-02 1.9731e-01 8.2277e-02 1.0792e-03 6.6448e-04
2.2387e+00 2.1639e+00 3.3000e+01 2.0337e-01 8.1589e-02 1.9773e-01 8.0766e-02 7.5862e-04 2.9447e-04
