# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.5849e+00 1.5849e+00 3.6000e+01 2.6437e-01 3.3844e-02 4.5552e-01 7.5937e-02 4.0287e-01 2.8277e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.2274e-01 3.0063e-02 4.5831e-01 7.7521e-02 4.0345e-01 2.8761e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.9478e-01 3.3729e-02 4.5067e-01 8.0833e-02 4.0440e-01 3.0488e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.9044e-01 2.5394e-02 4.6005e-01 7.9711e-02 4.0322e-01 3.0152e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.8302e-01 3.6335e-02 4.5454e-01 8.2325e-02 4.0401e-01 3.2020e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.9660e-01 2.6575e-02 4.5317e-01 7.8063e-02 4.0402e-01 3.5912e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.8306e-01 2.8483e-02 4.5187e-01 7.9617e-02 4.0284e-01 3.0588e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.8559e-01 3.2579e-02 4.4884e-01 7.7698e-02 4.0153e-01 2.8427e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.9027e-01 3.3846e-02 4.5179e-01 8.1700e-02 2.5483e-01 3.3145e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.6766e-01 3.9371e-02 4.5975e-01 8.3094e-02 2.4365e-01 3.2900e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.8851e-01 3.4521e-02 4.5742e-01 7.7155e-02 4.0292e-01 2.9038e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.8115e-01 3.1152e-02 4.6011e-01 7.9494e-02 2.5316e-01 3.2548e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.9442e-01 3.6726e-02 2.1395e-01 3.7348e-02 4.0397e-01 3.0473e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.8396e-01 3.1259e-02 4.5705e-01 7.7744e-02 4.0231e-01 2.9699e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.7560e-01 1.5290e-02 1.0000e+06 1.0000e+06 1.6416e-01 2.8321e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.2479e-01 2.5698e-02 1.0000e+06 1.0000e+06 4.0322e-01 2.8080e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.8564e-01 3.7480e-02 4.5206e-01 8.2087e-02 2.4709e-01 3.1416e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.0516e-01 2.8864e-02 4.5585e-01 7.9268e-02 4.0147e-01 3.1022e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.2562e-01 3.2452e-02 4.5221e-01 8.2557e-02 4.0313e-01 3.3086e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.0448e-01 2.8346e-02 4.5297e-01 7.8015e-02 4.0242e-01 2.8924e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.1964e-01 2.9531e-02 4.0380e-01 2.7718e-02 4.0380e-01 2.7702e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.0502e-01 2.9460e-02 4.5908e-01 7.9046e-02 4.0355e-01 2.9131e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.8006e-01 2.7829e-02 4.5210e-01 8.1269e-02 4.0199e-01 3.2692e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.9023e-01 3.9873e-02 4.0104e-01 3.2529e-02 4.0104e-01 3.2570e-02
