# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.4125e+00 1.4125e+00 3.7000e+01 2.3288e-03 3.5402e-02 1.0574e-02 1.0334e-02 2.1535e-03 1.4035e-02
1.4125e+00 1.4125e+00 3.7000e+01 5.8931e-04 3.5664e-02 3.8856e-04 1.5380e-02 3.9140e-04 1.5379e-02
1.4125e+00 1.4125e+00 3.7000e+01 4.5992e-04 3.8346e-02 3.8560e-04 3.1497e-02 2.8212e-04 1.5085e-02
1.4125e+00 1.4125e+00 3.7000e+01 8.5696e-04 3.9161e-02 1.0672e-03 1.2610e-02 1.0790e-03 1.2608e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.5870e-03 3.6111e-02 1.3611e-03 1.2687e-02 1.3710e-03 1.2690e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.8820e-03 3.7668e-02 1.9842e-03 2.2512e-02 2.0687e-03 1.1886e-02
1.5849e+00 1.5849e+00 3.6000e+01 6.5941e-04 3.8514e-02 4.6070e-04 1.3091e-02 4.6598e-04 1.3089e-02
1.5849e+00 1.5849e+00 3.6000e+01 5.3765e-03 4.6204e-02 5.5038e-03 2.2492e-02 5.6049e-03 1.1806e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.4865e-03 3.8015e-02 1.6656e-03 1.4315e-02 1.6656e-03 1.4316e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.5720e-03 4.2111e-02 1.8437e-03 1.2382e-02 1.8433e-03 1.2382e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.0070e-04 3.6531e-02 1.1202e-04 1.3091e-02 3.1639e-04 4.5693e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2525e-03 3.8269e-02 1.4567e-03 1.3394e-02 1.4587e-03 1.3394e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6702e-03 3.5021e-02 1.4856e-03 1.3394e-02 1.4967e-03 1.3395e-02
1.5849e+00 1.5849e+00 3.6000e+01 4.6165e-03 4.2735e-02 4.8074e-03 1.1376e-02 4.7928e-03 9.9483e-03
1.5849e+00 1.5849e+00 3.6000e+01 3.6920e-03 3.7888e-02 3.8426e-03 1.2069e-02 3.8366e-03 1.2069e-02
1.5849e+00 1.5849e+00 3.6000e+01 4.2180e-04 3.7982e-02 1.4216e-03 2.2488e-02 6.3207e-04 1.2183e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.1123e-03 3.9610e-02 4.3154e-03 1.1321e-02 4.3092e-03 1.1321e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.9676e-04 3.5902e-02 1.3109e-04 1.1714e-02 1.3072e-04 1.1714e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.1705e-04 4.0763e-02 2.5498e-05 2.2488e-02 9.3570e-05 1.2935e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.9546e-04 4.1411e-02 4.4249e-04 1.3404e-02 4.4251e-04 1.3404e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6615e-03 4.0646e-02 1.6615e-03 4.0646e-02 1.8629e-03 1.3709e-02
