# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
9.64945335e-01	-7.47733902e-03	-8.09203427e-03	2.24866532e-03
9.59019195e-01	-9.30083485e-03	-8.97799374e-03	2.24866532e-03
9.52817410e-01	-1.14257206e-02	-1.01212804e-02	2.24866532e-03
9.46391331e-01	-1.38591823e-02	-1.14976686e-02	2.24866532e-03
9.39795309e-01	-1.31329091e-02	-1.07374357e-02	2.24866532e-03
9.33081744e-01	-1.11261726e-02	-9.85254055e-03	2.24866532e-03
9.26303475e-01	-9.35976926e-03	-9.21513859e-03	2.24866532e-03
9.19513811e-01	-7.40083426e-03	-8.83250802e-03	2.24866532e-03
9.12765754e-01	-5.70804258e-03	-8.70430847e-03	2.24866532e-03
9.06155356e-01	-4.83842054e-03	-8.82051745e-03	2.24866532e-03
8.99737276e-01	-4.22147389e-03	-8.96904346e-03	2.24866532e-03
8.93511517e-01	-3.83570183e-03	-8.81094623e-03	2.24866532e-03
8.87478381e-01	-3.65983546e-03	-8.45741331e-03	2.24866532e-03
8.81732665e-01	-3.29254088e-03	-7.91561124e-03	2.24866532e-03
8.76349725e-01	-3.06929848e-03	-7.56648383e-03	2.24866532e-03
8.71329561e-01	-2.87389706e-03	-7.37826477e-03	2.24866532e-03
8.66724748e-01	-2.78196145e-03	-7.32146610e-03	2.24866532e-03
8.62617825e-01	-2.79297268e-03	-7.36376976e-03	2.24866532e-03
8.59009791e-01	-2.80722637e-03	-7.47312266e-03	2.24866532e-03
8.55925671e-01	-2.22469103e-03	-7.40993750e-03	2.24866532e-03
8.53438445e-01	-1.79014253e-03	-6.88146698e-03	2.24866532e-03
8.51559583e-01	-1.48315544e-03	-6.50328214e-03	2.24866532e-03
8.50339354e-01	-1.29326634e-03	-6.26740805e-03	2.24866532e-03
8.49796951e-01	-1.21128531e-03	-6.16492303e-03	2.24866532e-03
8.49966986e-01	-1.23699437e-03	-6.19692038e-03	2.24866532e-03
8.50875236e-01	-1.37569302e-03	-6.37011522e-03	2.24866532e-03
8.52545624e-01	-1.64202380e-03	-6.69943321e-03	2.24866532e-03
8.54996989e-01	-2.05855420e-03	-7.20890215e-03	2.24866532e-03
8.58246227e-01	-2.65855485e-03	-7.50490421e-03	2.24866532e-03
8.62313384e-01	-2.79736492e-03	-7.37047169e-03	2.24866532e-03
8.67207326e-01	-2.78628176e-03	-7.32215053e-03	2.24866532e-03
8.72937513e-01	-2.93203934e-03	-7.42411360e-03	2.24866532e-03
8.79508358e-01	-3.18163901e-03	-7.75279373e-03	2.24866532e-03
8.86922609e-01	-3.65276607e-03	-8.39735540e-03	2.24866532e-03
8.95177982e-01	-3.91840342e-03	-8.83289579e-03	2.24866532e-03
