# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
1.5849e+00 1.5849e+00 3.6000e+01 1.1955e+00 1.1444e+00 9.9097e-01 1.5295e+00 2.8765e-01 3.4281e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.1981e+00 1.1451e+00 9.9002e-01 1.5557e+00 3.0653e-01 3.0144e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2582e+00 1.1092e+00 9.8790e-01 1.6233e+00 2.8420e-01 3.6696e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2231e+00 1.1489e+00 9.9812e-01 1.5434e+00 2.9082e-01 3.5808e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2163e+00 1.1498e+00 1.0003e+00 1.5454e+00 2.9616e-01 3.5221e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2126e+00 1.1263e+00 9.8466e-01 1.5631e+00 2.9492e-01 2.4555e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.2706e+00 1.1393e+00 1.0051e+00 1.5928e+00 2.8019e-01 3.0499e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2577e+00 1.1663e+00 1.0398e+00 1.4852e+00 2.6820e-01 3.7281e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2249e+00 1.1502e+00 1.0145e+00 1.5198e+00 2.6749e-01 3.9615e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2512e+00 1.1492e+00 1.0203e+00 1.5154e+00 2.9447e-01 3.2203e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2484e+00 1.1433e+00 9.9854e-01 1.5810e+00 2.9618e-01 3.0676e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2191e+00 1.1426e+00 9.8728e-01 1.6123e+00 2.8515e-01 3.0744e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2140e+00 1.1434e+00 9.9319e-01 1.5900e+00 2.8266e-01 3.1018e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2338e+00 1.1367e+00 1.0023e+00 1.5598e+00 2.8835e-01 3.6366e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.1859e+00 1.1431e+00 9.7762e-01 1.6182e+00 2.8135e-01 2.8750e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2506e+00 1.1369e+00 1.0216e+00 1.5014e+00 2.7337e-01 3.2502e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.2173e+00 1.1486e+00 1.0064e+00 1.5304e+00 2.8031e-01 3.4280e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2293e+00 1.1085e+00 9.8110e-01 1.6020e+00 3.0297e-01 3.4097e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2792e+00 1.1642e+00 1.0449e+00 1.5205e+00 2.7707e-01 3.4893e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2382e+00 1.1539e+00 1.0240e+00 1.4795e+00 2.9456e-01 3.9870e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2506e+00 1.1773e+00 1.0421e+00 1.4805e+00 3.0550e-01 3.0403e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2638e+00 1.1162e+00 9.8817e-01 1.6452e+00 3.0090e-01 3.0579e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.1977e+00 1.1754e+00 1.0013e+00 1.5524e+00 2.7891e-01 3.6368e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2756e+00 1.1365e+00 1.0134e+00 1.5939e+00 3.2098e-01 3.3869e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2504e+00 1.1025e+00 9.9344e-01 1.5652e+00 2.8985e-01 2.8954e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.2433e+00 1.1549e+00 9.9943e-01 1.6290e+00 2.9283e-01 3.3700e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.1987e+00 1.1304e+00 9.7183e-01 1.6542e+00 2.8735e-01 2.6433e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2955e+00 1.1385e+00 1.0331e+00 1.5348e+00 2.9216e-01 3.1854e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2257e+00 1.1822e+00 1.0202e+00 1.5170e+00 2.7554e-01 3.6538e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2655e+00 1.1401e+00 1.0284e+00 1.5182e+00 3.0578e-01 2.9878e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.1970e+00 1.1559e+00 1.0303e+00 1.4284e+00 2.8612e-01 2.9640e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2439e+00 1.1269e+00 9.8931e-01 1.6099e+00 3.1358e-01 2.7015e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2430e+00 1.1396e+00 1.0006e+00 1.6170e+00 3.1029e-01 3.0132e-02
