# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.4125e+00 1.3902e+00 3.7000e+01 5.6419e-04 1.3850e-04 3.4562e-04 2.9334e-05 3.2749e-04 3.0462e-05
1.4125e+00 1.4266e+00 3.7000e+01 2.7263e-04 4.3763e-06 7.0370e-05 6.4590e-05 7.1991e-05 7.3616e-05
1.5849e+00 1.5888e+00 3.6000e+01 1.8826e-03 2.8250e-04 2.4659e-03 9.4488e-06 2.4673e-03 2.4468e-05
1.5849e+00 1.6127e+00 3.6000e+01 2.4170e-04 4.7555e-04 1.8900e-04 4.5300e-04 1.7950e-04 2.3093e-04
1.5849e+00 1.5270e+00 3.6000e+01 2.0058e-03 5.5147e-04 1.9959e-03 5.4754e-04 1.9181e-03 5.1305e-04
1.5849e+00 1.5426e+00 3.6000e+01 6.4927e-04 7.2598e-04 1.1021e-02 7.5640e-04 9.1692e-04 6.7108e-04
1.5849e+00 1.5367e+00 3.6000e+01 3.4580e-04 1.3336e-04 2.9317e-04 1.4596e-05 1.0933e-04 4.5340e-05
1.5849e+00 1.5925e+00 3.6000e+01 9.1325e-04 4.6986e-05 1.1528e-03 3.3564e-05 1.1963e-03 3.5821e-05
1.5849e+00 1.5839e+00 3.6000e+01 1.1525e-03 3.6464e-04 1.1106e-03 3.5446e-04 6.8288e-04 3.6900e-04
1.5849e+00 1.6032e+00 3.6000e+01 4.6138e-04 1.3619e-04 4.4974e-04 1.3242e-04 4.6438e-04 1.4258e-04
1.5849e+00 1.5642e+00 3.6000e+01 1.0560e-03 6.2831e-04 1.2491e-03 5.8879e-04 1.2513e-03 4.6412e-04
1.5849e+00 1.6174e+00 3.6000e+01 9.6456e-04 4.2273e-04 1.1563e-02 5.5889e-04 1.0078e-03 6.0416e-04
1.7783e+00 1.7558e+00 3.5000e+01 4.3167e-04 1.1801e-04 5.4971e-04 8.8424e-05 4.6329e-04 2.8868e-04
1.7783e+00 1.7673e+00 3.5000e+01 6.2648e-04 5.0590e-04 8.4194e-04 5.5501e-04 8.2080e-04 5.6072e-04
1.7783e+00 1.8165e+00 3.5000e+01 1.3127e-03 9.9698e-04 1.1694e-03 9.0384e-04 1.4577e-03 9.0116e-04
1.7783e+00 1.7649e+00 3.5000e+01 1.7034e-03 1.2790e-03 1.9898e-03 1.1132e-03 1.9926e-03 1.1009e-03
1.7783e+00 1.7532e+00 3.5000e+01 1.6093e-03 2.7727e-04 1.6037e-03 2.5596e-04 1.6123e-03 2.1711e-04
1.7783e+00 1.7837e+00 3.5000e+01 4.2540e-04 6.1277e-04 4.1253e-04 4.7244e-04 3.9958e-04 5.0473e-04
1.7783e+00 1.7614e+00 3.5000e+01 2.3618e-03 2.6500e-04 2.6250e-03 3.4601e-04 2.5874e-03 5.1954e-04
1.7783e+00 1.7509e+00 3.5000e+01 7.0595e-04 5.3756e-04 1.0338e-03 4.6828e-04 1.0092e-03 7.6098e-04
1.7783e+00 1.7751e+00 3.5000e+01 4.7571e-04 8.3497e-04 7.1153e-04 7.3919e-04 1.1448e-03 6.7333e-04
1.7783e+00 1.8049e+00 3.5000e+01 6.9786e-04 1.6539e-04 1.9627e-03 4.0975e-04 1.9076e-03 4.1229e-04
1.9953e+00 1.9560e+00 3.4000e+01 1.0342e-03 4.3989e-04 8.2127e-03 4.4339e-04 1.7379e-03 2.4616e-04
1.9953e+00 2.0170e+00 3.4000e+01 6.8540e-04 4.6318e-05 1.9834e-02 3.2535e-04 1.9835e-02 5.8738e-05
1.9953e+00 1.9303e+00 3.4000e+01 2.0578e-03 6.6669e-04 1.9800e-02 9.5440e-04 1.3986e-02 9.5588e-04
1.9953e+00 1.9871e+00 3.4000e+01 1.6053e-03 6.6509e-04 1.6776e-03 6.3518e-04 1.6028e-03 6.2884e-04
1.9953e+00 1.9451e+00 3.4000e+01 1.5321e-03 1.4697e-04 1.9794e-02 4.5326e-04 1.9792e-02 4.3119e-04
1.9953e+00 1.9619e+00 3.4000e+01 2.8280e-04 1.8140e-04 1.1088e-02 1.8249e-04 1.9870e-02 5.4881e-04
1.9953e+00 2.0355e+00 3.4000e+01 8.6526e-04 9.0135e-04 1.9875e-02 6.6339e-04 1.9874e-02 6.9519e-04
1.9953e+00 1.9928e+00 3.4000e+01 1.2957e-03 1.7367e-04 1.0908e-02 2.7141e-04 1.9849e-02 2.0858e-04
1.9953e+00 1.9768e+00 3.4000e+01 8.5005e-04 7.1342e-04 9.4761e-04 7.5943e-04 9.5504e-04 7.5583e-04
1.9953e+00 1.8838e+00 3.4000e+01 1.7703e-03 2.0030e-04 1.9993e-02 4.8654e-04 1.9993e-02 4.4261e-04
2.2387e+00 2.3222e+00 3.3000e+01 1.6730e-03 2.8036e-04 1.9787e-02 7.4984e-04 1.9787e-02 7.2276e-04
2.2387e+00 2.2052e+00 3.3000e+01 2.4155e-04 8.0740e-04 1.9836e-02 5.2434e-04 1.9837e-02 5.7292e-04
2.2387e+00 2.2149e+00 3.3000e+01 1.6738e-03 1.1502e-04 1.9790e-02 4.6412e-04 1.9789e-02 4.6362e-04
2.2387e+00 2.2203e+00 3.3000e+01 8.6666e-04 1.9089e-04 1.1065e-02 1.8037e-04 1.9956e-02 1.8221e-04
2.2387e+00 2.2504e+00 3.3000e+01 1.6199e-03 7.1113e-04 1.9798e-02 8.9143e-04 1.9800e-02 8.9679e-04
2.2387e+00 2.1661e+00 3.3000e+01 2.0749e-03 2.3153e-04 2.0029e-02 6.3617e-04 2.0029e-02 6.3977e-04
2.2387e+00 2.2727e+00 3.3000e+01 2.6823e-03 5.5992e-04 2.0106e-02 1.1282e-06 2.0106e-02 2.2183e-04
2.2387e+00 2.2170e+00 3.3000e+01 9.7992e-04 1.4787e-04 1.9800e-02 5.9668e-04 1.9803e-02 5.1545e-04
2.2387e+00 2.3072e+00 3.3000e+01 6.0089e-04 5.0903e-04 1.9909e-02 6.9653e-04 1.9909e-02 6.9801e-04
2.2387e+00 2.3231e+00 3.3000e+01 2.1626e-03 4.9163e-04 1.9788e-02 1.1374e-04 1.9788e-02 1.1529e-04
2.5119e+00 2.5323e+00 3.2000e+01 1.9992e-04 3.0294e-04 1.9842e-02 6.9801e-04 1.9843e-02 6.4111e-04
2.5119e+00 2.4781e+00 3.2000e+01 2.2177e-03 3.3543e-04 1.9974e-02 5.6890e-04 1.9978e-02 1.8630e-04
2.5119e+00 2.4958e+00 3.2000e+01 8.9928e-04 6.2750e-04 1.9825e-02 1.0736e-03 1.9825e-02 1.0688e-03
2.5119e+00 2.4911e+00 3.2000e+01 1.5026e-03 2.3220e-03 2.0021e-02 1.9360e-03 2.0022e-02 1.9354e-03
2.5119e+00 2.4853e+00 3.2000e+01 1.1982e-03 4.7770e-04 1.5546e-03 7.0711e-04 1.9987e-02 6.5154e-04
2.5119e+00 2.5460e+00 3.2000e+01 1.3826e-03 2.5092e-04 1.9998e-02 7.5484e-04 1.9999e-02 7.6867e-04
2.5119e+00 2.4490e+00 3.2000e+01 2.3992e-03 1.7033e-04 2.0179e-02 9.0257e-05 2.3978e-03 5.5000e-05
2.5119e+00 2.4872e+00 3.2000e+01 2.0559e-03 1.0283e-03 2.0116e-02 1.2951e-03 2.0116e-02 1.2963e-03
2.5119e+00 2.4524e+00 3.2000e+01 3.0060e-03 6.5843e-05 2.0290e-02 5.1834e-04 2.0290e-02 5.0868e-04
2.5119e+00 2.5135e+00 3.2000e+01 1.4266e-03 2.3901e-04 1.9791e-02 6.7615e-04 1.9789e-02 7.3447e-04
2.8184e+00 2.9567e+00 3.1000e+01 2.5922e-03 5.5545e-04 2.0213e-02 9.5010e-04 2.0216e-02 9.5771e-04
2.8184e+00 2.8237e+00 3.1000e+01 1.6779e-03 2.2576e-03 1.1454e-02 2.2127e-03 1.9989e-02 3.8440e-03
2.8184e+00 2.8402e+00 3.1000e+01 1.5160e-03 4.2205e-05 1.9805e-02 9.9988e-05 1.9803e-02 1.1402e-04
2.8184e+00 2.8020e+00 3.1000e+01 2.6717e-03 1.8321e-04 1.9820e-02 4.3041e-04 1.9820e-02 4.3641e-04
2.8184e+00 2.8681e+00 3.1000e+01 1.0153e-03 2.9644e-04 1.1692e-02 5.4697e-04 1.9839e-02 1.1085e-04
2.8184e+00 2.7933e+00 3.1000e+01 1.4054e-03 1.9873e-03 1.1611e-02 1.6728e-03 1.9927e-02 2.1404e-03
2.8184e+00 2.7706e+00 3.1000e+01 1.7018e-03 1.0327e-03 1.9788e-02 1.5104e-03 1.9793e-02 7.7402e-04
2.8184e+00 2.7425e+00 3.1000e+01 2.3356e-03 3.1147e-04 2.1515e-03 3.8035e-04 2.0112e-02 9.2937e-05
2.8184e+00 2.7433e+00 3.1000e+01 1.3523e-03 2.4495e-04 1.9961e-02 3.2196e-04 1.9961e-02 3.1773e-04
2.8184e+00 2.8174e+00 3.1000e+01 1.8887e-03 2.3878e-04 2.0004e-02 1.5238e-04 2.0009e-02 1.5936e-04
3.1623e+00 3.3452e+00 3.0000e+01 6.8396e-04 4.9557e-04 1.9827e-02 3.2203e-04 1.9827e-02 3.3233e-04
3.1623e+00 3.1346e+00 3.0000e+01 1.6511e-03 1.4650e-03 1.9859e-02 1.8984e-03 1.9877e-02 1.8969e-03
3.1623e+00 3.2472e+00 3.0000e+01 1.5086e-03 4.3783e-04 1.1480e-02 3.5059e-04 1.9789e-02 7.2065e-05
3.1623e+00 3.0569e+00 3.0000e+01 2.7887e-04 5.1303e-04 1.9865e-02 1.4949e-05 1.9852e-02 1.5795e-05
3.1623e+00 3.1103e+00 3.0000e+01 1.0316e-03 1.0312e-03 1.9863e-02 1.3137e-03 1.9878e-02 1.3178e-03
3.1623e+00 3.1091e+00 3.0000e+01 1.7015e-03 1.2059e-03 1.9911e-02 8.8903e-04 1.9911e-02 8.8431e-04
3.1623e+00 3.0538e+00 3.0000e+01 1.0896e-03 1.1492e-03 1.9797e-02 8.3269e-04 1.9797e-02 8.5624e-04
3.1623e+00 3.1252e+00 3.0000e+01 2.8243e-03 3.9531e-04 1.9843e-02 3.0173e-04 3.6470e-02 3.4107e-04
3.1623e+00 3.0588e+00 3.0000e+01 1.9162e-03 7.7162e-04 2.0038e-02 3.7055e-04 2.0040e-02 3.4199e-04
3.1623e+00 3.1073e+00 3.0000e+01 4.8748e-04 1.0814e-03 1.9825e-02 1.5534e-03 1.9826e-02 1.5468e-03
3.5481e+00 3.6378e+00 2.9000e+01 4.1724e-04 7.2287e-04 1.9852e-02 9.8465e-04 1.9878e-02 1.0040e-03
3.5481e+00 3.6722e+00 2.9000e+01 3.3039e-03 9.3627e-04 1.0680e-02 9.9663e-04 2.0180e-02 6.8877e-04
3.5481e+00 3.6671e+00 2.9000e+01 4.3302e-03 6.3499e-04 1.9864e-02 1.7318e-04 1.9864e-02 1.7783e-04
3.5481e+00 3.5775e+00 2.9000e+01 1.3921e-03 1.6138e-05 1.9892e-02 2.7810e-04 1.9891e-02 2.7267e-04
3.5481e+00 3.7313e+00 2.9000e+01 8.8586e-04 6.2761e-04 1.9945e-02 6.2545e-04 1.9960e-02 2.4870e-03
