# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
1.2589e+00 1.2589e+00 3.8000e+01 1.6206e-01 6.0766e-01 2.9582e-01 2.8489e-01 2.5618e-01 1.9744e-01 2.2589e-01 1.9838e-01 2.1750e-01 5.1896e-01 7.7162e-04 4.0262e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.6135e-01 6.8121e+00 3.0058e-01 2.8240e-01 2.5268e-01 1.9870e-01 2.3820e-01 1.8893e-01 2.0844e-01 5.0776e-01 1.7498e-03 3.9955e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.6597e-01 6.4154e+00 2.9881e-01 2.7395e-01 2.6062e-01 1.8926e-01 2.6075e-01 1.9505e-01 2.2353e-01 5.1225e-01 7.7092e-05 3.7284e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.6402e-01 1.7384e+00 3.1163e-01 2.7413e-01 2.6313e-01 1.9204e-01 2.6599e-01 1.8775e-01 2.1754e-01 5.0974e-01 1.2463e-04 3.8667e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.6263e-01 5.2358e+00 3.0554e-01 2.7292e-01 2.5540e-01 1.9250e-01 2.4093e-01 1.9466e-01 2.0753e-01 5.0821e-01 3.0237e-04 3.6819e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6415e-01 4.9121e+00 3.0324e-01 2.8018e-01 2.5487e-01 1.9663e-01 2.5136e-01 1.9836e-01 2.1656e-01 5.1176e-01 4.9608e-04 4.0180e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6423e-01 3.1902e+00 2.9324e-01 2.8456e-01 2.5538e-01 2.0145e-01 2.5507e-01 1.9531e-01 2.2835e-01 5.3319e-01 1.2566e-03 4.1805e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6450e-01 8.2009e+00 2.9807e-01 2.8568e-01 2.5940e-01 1.9954e-01 2.3708e-01 1.9853e-01 2.1652e-01 5.1656e-01 2.3822e-03 4.1415e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6476e-01 1.3896e+00 3.0746e-01 2.8056e-01 2.5944e-01 1.9506e-01 2.4880e-01 1.9663e-01 2.0858e-01 5.0599e-01 3.0802e-03 3.8372e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6210e-01 1.0259e+01 3.0602e-01 2.7899e-01 2.5459e-01 1.9386e-01 2.3547e-01 1.9566e-01 2.0781e-01 4.9786e-01 8.2049e-04 3.7637e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6429e-01 4.5448e+00 3.0112e-01 2.7727e-01 2.6051e-01 1.9214e-01 2.5245e-01 1.9678e-01 2.1509e-01 5.1238e-01 1.5052e-03 3.6580e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6310e-01 1.3287e+00 3.1029e-01 2.6403e-01 2.5975e-01 1.8657e-01 2.6780e-01 1.8990e-01 2.1193e-01 5.0694e-01 8.3870e-04 3.5390e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6235e-01 2.4972e+00 3.0342e-01 2.7941e-01 2.5370e-01 1.9186e-01 2.3095e-01 1.9127e-01 2.2352e-01 5.2222e-01 4.3102e-04 3.6831e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6396e-01 9.1782e+00 2.9048e-01 2.8299e-01 2.5266e-01 1.9471e-01 2.5753e-01 1.9534e-01 2.2049e-01 5.1771e-01 9.0532e-04 3.6466e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6276e-01 6.4829e+00 3.0583e-01 2.7308e-01 2.5625e-01 1.9118e-01 2.3817e-01 1.8616e-01 2.1006e-01 5.0293e-01 2.4450e-03 3.5197e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6298e-01 3.4905e+00 3.0137e-01 2.7694e-01 2.5831e-01 1.9382e-01 2.5375e-01 1.9713e-01 2.2584e-01 5.2804e-01 5.0976e-04 3.8961e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6591e-01 2.3859e+00 2.9810e-01 2.7763e-01 2.5945e-01 1.9574e-01 2.2481e-01 1.9664e-01 2.1425e-01 5.2118e-01 4.0661e-04 3.9012e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6192e-01 4.4035e+00 3.1123e-01 2.7190e-01 2.5810e-01 1.8553e-01 2.5836e-01 1.9139e-01 2.0905e-01 5.0064e-01 1.5867e-03 3.5608e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6279e-01 3.9064e+00 2.9828e-01 2.7692e-01 2.5752e-01 1.9641e-01 2.5275e-01 1.9436e-01 2.1709e-01 5.1442e-01 2.6294e-04 3.7309e-02
