# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.2589e+00 1.2589e+00 3.8000e+01 1.5316e-01 6.4080e-02 3.0473e-01 3.0169e-02 1.3622e-01 7.4493e-02 3.0453e-01 5.0332e-02 2.7491e-01 2.7706e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.5418e-01 1.8818e-01 3.6567e-01 1.7384e-01 1.5226e-01 7.2528e-02 3.0372e-01 5.5055e-02 2.8672e-01 3.4494e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.7637e-01 5.6245e-02 3.0346e-01 3.1840e-02 1.4518e-01 7.3766e-02 3.0338e-01 5.2072e-02 2.8162e-01 4.1677e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.8153e-01 8.6503e-02 3.0681e-01 5.2843e-02 1.5302e-01 6.9443e-02 2.5623e-01 4.3745e-02 2.8962e-01 2.8690e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.5508e-01 6.1804e-02 3.0518e-01 1.0401e-02 1.3850e-01 6.5915e-02 3.0514e-01 3.6043e-02 2.8613e-01 2.4744e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.9101e-01 1.0515e-01 3.0889e-01 7.1098e-02 1.5558e-01 6.3314e-02 2.6158e-01 9.6658e-03 2.9193e-01 2.9448e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.7146e-01 6.0987e-02 2.7384e-01 4.3076e-02 1.4707e-01 6.2503e-02 3.0590e-01 4.4228e-02 2.9462e-01 2.4554e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.6472e-01 9.5998e-02 3.0465e-01 5.0291e-02 1.5511e-01 6.9901e-02 3.0460e-01 6.2268e-02 2.7789e-01 3.6932e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.5453e-01 5.6710e-02 3.0648e-01 7.0990e-03 1.4700e-01 7.2686e-02 2.5570e-01 6.0590e-02 2.8902e-01 3.9208e-02
1.4125e+00 1.4125e+00 3.7000e+01 1.7857e-01 1.0944e-01 3.0737e-01 9.6778e-02 1.4320e-01 7.5701e-02 2.5518e-01 6.0283e-02 2.6255e-01 2.7245e-02
